%{dd-mm-yyyy HH:MM:SS} INFO  LoggerHelper : 21 -logger is configured
%{dd-MM-yyyy HH:MM:SS} INFO  LoggerHelper : 21 -logger is configured
%{dd-MM-yyyy HH:MM:SS} INFO  LoggerHelper :21 - logger is configured
22-03-2020 16:03:847 INFO  LoggerHelper :21 - logger is configured
22-03-2020 16:03:638 INFO  LoggerHelper :21 - logger is configured
23-03-2020 19:03:69 INFO  ResourceHelper :11 - resource path :C:\Users\varun.kandukuri\workspace\evonsys//src/main/java/com/evonsys/projectName/helper/resource/ResourceHelper.java
23-03-2020 19:03:497 INFO  ResourceHelper :11 - resource path :C:\Users\varun.kandukuri\workspace\evonsys/src/main/java/com/evonsys/projectName/helper/resource/ResourceHelper.java
24-03-2020 17:03:646 INFO  ExcelHelper :100 - result updated..
24-03-2020 17:03:778 INFO  ExcelHelper :100 - result updated..
24-03-2020 17:03:822 INFO  ExcelHelper :100 - result updated..
24-03-2020 17:03:484 INFO  ExcelHelper :100 - result updated..
24-03-2020 17:03:574 INFO  ExcelHelper :100 - result updated..
24-03-2020 17:03:616 INFO  ExcelHelper :100 - result updated..
26-03-2020 15:03:579 INFO  AssertionHelper :18 - making script PASS..
26-03-2020 15:03:584 INFO  AssertionHelper :26 - making script FAIL..
26-03-2020 19:03:951 INFO  AssertionHelper :18 - making script PASS..
26-03-2020 19:03:957 INFO  AssertionHelper :26 - making script FAIL..
26-03-2020 19:03:580 INFO  AssertionHelper :18 - making script PASS..
26-03-2020 19:03:50 INFO  AssertionHelper :26 - making script FAIL..
26-03-2020 19:03:515 INFO  AssertionHelper :18 - making script PASS..
26-03-2020 19:03:791 INFO  AssertionHelper :26 - making script FAIL..
26-03-2020 20:03:46 INFO  AssertionHelper :18 - making script PASS..
26-03-2020 20:03:373 INFO  AssertionHelper :26 - making script FAIL..
26-03-2020 20:03:399 INFO  AssertionHelper :26 - making script FAIL..
26-03-2020 20:03:420 INFO  AssertionHelper :18 - making script PASS..
26-03-2020 20:03:439 INFO  AssertionHelper :18 - making script PASS..
26-03-2020 20:03:453 INFO  AssertionHelper :26 - making script FAIL..
26-03-2020 20:03:466 INFO  AssertionHelper :26 - making script FAIL..
26-03-2020 20:03:479 INFO  AssertionHelper :18 - making script PASS..
26-03-2020 20:03:387 INFO  AssertionHelper :18 - making script PASS..
26-03-2020 20:03:726 INFO  AssertionHelper :26 - making script FAIL..
26-03-2020 20:03:747 INFO  AssertionHelper :26 - making script FAIL..
26-03-2020 20:03:760 INFO  AssertionHelper :18 - making script PASS..
26-03-2020 20:03:771 INFO  AssertionHelper :18 - making script PASS..
26-03-2020 20:03:783 INFO  AssertionHelper :26 - making script FAIL..
26-03-2020 20:03:794 INFO  AssertionHelper :26 - making script FAIL..
26-03-2020 20:03:805 INFO  AssertionHelper :18 - making script PASS..
26-03-2020 20:03:724 INFO  AssertionHelper :18 - making script PASS..
26-03-2020 20:03:17 INFO  AssertionHelper :26 - making script FAIL..
26-03-2020 20:03:47 INFO  AssertionHelper :26 - making script FAIL..
26-03-2020 20:03:65 INFO  AssertionHelper :18 - making script PASS..
26-03-2020 20:03:79 INFO  AssertionHelper :18 - making script PASS..
26-03-2020 20:03:93 INFO  AssertionHelper :26 - making script FAIL..
26-03-2020 20:03:104 INFO  AssertionHelper :26 - making script FAIL..
26-03-2020 20:03:114 INFO  AssertionHelper :18 - making script PASS..
26-03-2020 20:03:531 INFO  AssertionHelper :18 - making script PASS..
26-03-2020 20:03:884 INFO  AssertionHelper :26 - making script FAIL..
26-03-2020 20:03:913 INFO  AssertionHelper :26 - making script FAIL..
26-03-2020 20:03:930 INFO  AssertionHelper :18 - making script PASS..
26-03-2020 20:03:922 INFO  AssertionHelper :18 - making script PASS..
26-03-2020 20:03:230 INFO  AssertionHelper :26 - making script FAIL..
26-03-2020 20:03:258 INFO  AssertionHelper :26 - making script FAIL..
26-03-2020 20:03:272 INFO  AssertionHelper :18 - making script PASS..
26-03-2020 20:03:287 INFO  AssertionHelper :18 - making script PASS..
26-03-2020 20:03:299 INFO  AssertionHelper :26 - making script FAIL..
26-03-2020 20:03:314 INFO  AssertionHelper :26 - making script FAIL..
